CommandLine, Time, Executable, Parent PID, PID, User, Privileges
"C:\WINDOWS\system32\BackgroundTaskHost.exe" -ServerName:BackgroundTaskHost.WebAccountProvider , 20220823123632.896948+540 , C:\WINDOWS\system32\BackgroundTaskHost.exe ,612 , 22136 , ('AzureAD', 0, 'KatayamaMasa') , N/A
"C:\Program Files (x86)\Microsoft\Edge\Application\104.0.1293.63\identity_helper.exe" --type=utility --utility-sub-type=winrt_app_id.mojom.WinrtAppIdService --lang=ja --service-sandbox-type=none --mojo-platform-channel-handle=6760 --field-trial-handle=2148,i,1436349843804327107,14781813670610428855,131072 /prefetch:8 , 20220823124542.898089+540 , C:\Program Files (x86)\Microsoft\Edge\Application\104.0.1293.63\identity_helper.exe ,12876 , 10384 , ('AzureAD', 0, 'KatayamaMasa') , N/A
"C:\WINDOWS\system32\BackgroundTaskHost.exe" -ServerName:BackgroundTaskHost.WebAccountProvider , 20220823124550.085915+540 , C:\WINDOWS\system32\BackgroundTaskHost.exe ,612 , 10260 , ('AzureAD', 0, 'KatayamaMasa') , N/A
"C:\WINDOWS\system32\BackgroundTaskHost.exe" -ServerName:BackgroundTaskHost.WebAccountProvider , 20220823124550.963287+540 , C:\WINDOWS\system32\BackgroundTaskHost.exe ,612 , 21012 , ('AzureAD', 0, 'KatayamaMasa') , N/A
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20220823124550.686110+540 , C:\Windows\System32\RuntimeBroker.exe ,612 , 23356 , ('AzureAD', 0, 'KatayamaMasa') , N/A
taskhostw.exe BitLockerPolicy , 20220823124600.910280+540 , C:\WINDOWS\system32\taskhostw.exe ,1840 , 17420 , ('AzureAD', 0, 'KatayamaMasa') , N/A
None , 20220823124600.520898+540 , None ,1840 , 22412 , (None, 2, None) , N/A
None , 20220823124601.821997+540 , None ,1840 , 24772 , (None, 2, None) , N/A
None , 20220823124602.004633+540 , None ,916 , 4320 , (None, 2, None) , N/A
None , 20220823124601.787382+540 , None ,7876 , 8616 , (None, 2, None) , N/A
None , 20220823124603.719543+540 , None ,916 , 12952 , (None, 2, None) , N/A
None , 20220823124603.750949+540 , None ,612 , 24524 , (None, 2, None) , N/A
"C:\Program Files (x86)\MOTEX\LanScope Cat MR\LspQuest.exe" "sam" , 20220823124604.599199+540 , C:\Program Files (x86)\MOTEX\LanScope Cat MR\LspQuest.exe ,22932 , 24420 , ('AzureAD', 0, 'KatayamaMasa') , N/A
None , 20220823124606.463399+540 , None ,1840 , 14104 , (None, 2, None) , N/A
None , 20220823124606.416707+540 , None ,916 , 14576 , (None, 2, None) , N/A
None , 20220823124607.827583+540 , None ,916 , 23120 , (None, 2, None) , N/A
C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} , 20220823124702.434289+540 , C:\WINDOWS\system32\DllHost.exe ,612 , 23248 , ('AzureAD', 0, 'KatayamaMasa') , N/A
None , 20220823124701.840198+540 , None ,3468 , 25492 , (None, 2, None) , N/A
None , 20220823124702.978410+540 , None ,916 , 9416 , (None, 2, None) , N/A
None , 20220823124703.799439+540 , None ,916 , 11128 , (None, 2, None) , N/A
None , 20220823124706.267207+540 , None ,16288 , 17816 , (None, 2, None) , N/A
C:\WINDOWS\system32\DllHost.exe /Processid:{338B40F9-9D68-4B53-A793-6B9AA0C5F63B} , 20220823124706.550060+540 , C:\WINDOWS\system32\DllHost.exe ,612 , 20256 , ('AzureAD', 0, 'KatayamaMasa') , N/A
C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} , 20220823124714.149983+540 , C:\WINDOWS\system32\DllHost.exe ,612 , 2144 , ('AzureAD', 0, 'KatayamaMasa') , N/A
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20220823124728.373584+540 , C:\Windows\System32\RuntimeBroker.exe ,612 , 14824 , ('AzureAD', 0, 'KatayamaMasa') , N/A
"C:\WINDOWS\system32\backgroundTaskHost.exe" -ServerName:App.AppXfkd8mejksk4ancwf4vtyhmkvtzn1jcbs.mca , 20220823124728.175788+540 , C:\WINDOWS\system32\backgroundTaskHost.exe ,612 , 1808 , ('AzureAD', 0, 'KatayamaMasa') , N/A
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20220823124728.732305+540 , C:\Windows\System32\RuntimeBroker.exe ,612 , 25520 , ('AzureAD', 0, 'KatayamaMasa') , N/A
"C:\WINDOWS\system32\backgroundTaskHost.exe" -ServerName:Microsoft.MicrosoftOfficeHub.AppX54h2e8jwdm50fj5ha8987vz1etpx7czd.mca , 20220823124728.157957+540 , C:\WINDOWS\system32\backgroundTaskHost.exe ,612 , 3232 , ('AzureAD', 0, 'KatayamaMasa') , N/A
C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} , 20220823124732.840754+540 , C:\WINDOWS\system32\DllHost.exe ,612 , 17460 , ('AzureAD', 0, 'KatayamaMasa') , N/A
C:\WINDOWS\system32\DllHost.exe /Processid:{338B40F9-9D68-4B53-A793-6B9AA0C5F63B} , 20220823124739.462352+540 , C:\WINDOWS\system32\DllHost.exe ,612 , 3888 , ('AzureAD', 0, 'KatayamaMasa') , N/A
"C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1660,8537330810189931557,2004841535186600165,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=ja --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path="C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\resources\app.asar" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=189 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6264 /prefetch:1 , 20220823124739.863716+540 , C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe ,16732 , 19836 , ('AzureAD', 0, 'KatayamaMasa') , N/A
None , 20220823124740.915810+540 , None ,916 , 24020 , (None, 2, None) , N/A
None , 20220823124749.372360+540 , None ,4952 , 9452 , (None, 2, None) , N/A
"C:\WINDOWS\system32\BackgroundTaskHost.exe" -ServerName:BackgroundTaskHost.WebAccountProvider , 20220823124810.181250+540 , C:\WINDOWS\system32\BackgroundTaskHost.exe ,612 , 21268 , ('AzureAD', 0, 'KatayamaMasa') , N/A
None , 20220823124810.002828+540 , None ,1840 , 24040 , ('AzureAD', 0, 'KatayamaMasa') , N/A
"C:\WINDOWS\system32\BackgroundTaskHost.exe" -ServerName:BackgroundTaskHost.WebAccountProvider , 20220823124810.968336+540 , C:\WINDOWS\system32\BackgroundTaskHost.exe ,612 , 15280 , ('AzureAD', 0, 'KatayamaMasa') , N/A
